name,ingredients,diet,flavor_profile,course
Pineapple Pastry 165,"Gram flour, rice flour, onion, spices",vegetarian,spicy,main course
Paneer Burger 166,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,snack
Paneer Manchurian 167,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,snack
Paneer Momos 168,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,main course
Vegetable Pulao 169,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,dessert
Vegetable Pulao 170,"Egg, tomato, onion, garam masala, coriander",vegetarian,sweet,dessert
Chicken Burger 171,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,main course
Dal Fry 172,"Rice, peas, beans, carrot, spices",vegetarian,bitter,main course
Sweet Corn Soup 173,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,starter
Paneer Do Pyaza 174,"Mutton, onion, ginger garlic paste, spices",vegetarian,-1,snack
Kadhi Pakora 175,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,dessert
Hara Bhara Kebab 176,"Paneer, onion, tomato, garam masala, cream",vegetarian,bitter,snack
Kadhi Pakora 177,"Mutton, onion, ginger garlic paste, spices",vegetarian,bitter,main course
Falooda 178,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,dessert
Veg Sandwich 179,"Wheat flour, sugar, jaggery, coconut",non vegetarian,spicy,snack
Falooda 180,"Gram flour, rice flour, onion, spices",non vegetarian,bitter,starter
Paneer Roll 181,"Paneer, onion, tomato, garam masala, cream",vegetarian,bitter,snack
Jowar Roti 182,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,main course
Paneer Pizza 183,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,starter
Pesarattu 184,"Rice, peas, beans, carrot, spices",non vegetarian,bitter,main course
Pineapple Pastry 185,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,main course
Chicken Spring Roll 186,"Wheat flour, sugar, jaggery, coconut",vegetarian,-1,main course
Veg Biryani 187,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,snack
Chapati 188,"Wheat flour, sugar, jaggery, coconut",vegetarian,sweet,snack
Chocolate Cake 189,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,main course
Veg Fried Rice 190,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,sweet,starter
Chicken Korma 191,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,main course
Hot and Sour Soup 192,"Wheat flour, sugar, jaggery, coconut",non vegetarian,sweet,starter
Kadhi Pakora 193,"Rice, peas, beans, carrot, spices",non vegetarian,bitter,dessert
Egg Roll 194,"Gram flour, rice flour, onion, spices",vegetarian,sweet,main course
Bajra Roti 195,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,snack
Veg Pakora 196,"Rice, peas, beans, carrot, spices",non vegetarian,spicy,main course
Hot and Sour Soup 197,"Mutton, onion, ginger garlic paste, spices",vegetarian,spicy,dessert
Gobi Manchurian 198,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,snack
Seekh Kebab 199,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,snack
Pesarattu 200,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,snack
Egg Curry 201,"Rice, peas, beans, carrot, spices",non vegetarian,-1,snack
Fish Tikka 202,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,dessert
Onion Pakora 203,"Rice flour, milk, sugar, saffron, nuts",vegetarian,spicy,dessert
Pesarattu 204,"Mutton, onion, ginger garlic paste, spices",non vegetarian,-1,dessert
Black Forest Cake 205,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,main course
Mutton Kebab 206,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,main course
Veg Manchurian 207,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,starter
Veg Frankie 208,"Paneer, onion, tomato, garam masala, cream",vegetarian,sweet,main course
Chicken Biryani 209,"Potato, onion, chili, garam masala, oil",vegetarian,-1,starter
Paneer Do Pyaza 210,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,snack
Mixed Veg Sabzi 211,"Rice, peas, beans, carrot, spices",non vegetarian,sweet,dessert
Schezwan Noodles 212,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,starter
Veg Biryani 213,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,main course
Veg Spring Roll 214,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,bitter,starter
Paneer Momos 215,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,snack
Dal Fry 216,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,dessert
Rava Ladoo 217,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,main course
Egg Biryani 218,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,snack
Mutton Curry 219,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,main course
Fish Tikka 220,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,main course
Adai 221,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,main course
Black Forest Cake 222,"Rice, peas, beans, carrot, spices",vegetarian,-1,starter
Chicken Frankie 223,"Egg, tomato, onion, garam masala, coriander",non vegetarian,sweet,starter
Veg Fried Rice 224,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,main course
Paneer Burger 225,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,main course
Gobi Manchurian 226,"Wheat flour, sugar, jaggery, coconut",non vegetarian,spicy,snack
Vegetable Curry 227,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,starter
Paneer Pakora 228,"Fish, coconut milk, tamarind, curry leaves",vegetarian,sweet,starter
Kadhi Chawal 229,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,sweet,snack
Hot and Sour Soup 230,"Paneer, onion, tomato, garam masala, cream",non vegetarian,bitter,snack
Chocolate Cake 231,"Wheat flour, sugar, jaggery, coconut",vegetarian,spicy,snack
Tandoori Roti 232,"Potato, onion, chili, garam masala, oil",vegetarian,sweet,starter
Onion Pakora 233,"Mutton, onion, ginger garlic paste, spices",vegetarian,-1,snack
Chicken Spring Roll 234,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,snack
Pineapple Pastry 235,"Paneer, onion, tomato, garam masala, cream",vegetarian,bitter,starter
Paneer Burger 236,"Gram flour, rice flour, onion, spices",vegetarian,spicy,snack
Adai 237,"Rice, peas, beans, carrot, spices",non vegetarian,-1,dessert
Chicken Frankie 238,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,dessert
Coconut Burfi 239,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,snack
Paneer Do Pyaza 240,"Fish, coconut milk, tamarind, curry leaves",vegetarian,sweet,starter
Chicken Pizza 241,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,dessert
Club Sandwich 242,"Gram flour, rice flour, onion, spices",vegetarian,bitter,starter
Butter Naan 243,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,starter
Paneer Momos 244,"Wheat flour, sugar, jaggery, coconut",vegetarian,sweet,snack
Black Forest Cake 245,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,main course
Egg Curry 246,"Gram flour, rice flour, onion, spices",non vegetarian,-1,starter
Hot and Sour Soup 247,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,snack
Dal Fry 248,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,spicy,dessert
Egg Hakka Noodles 249,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,dessert
Ice Cream 250,"Rice, peas, beans, carrot, spices",vegetarian,-1,main course
Paneer Manchurian 251,"Wheat flour, sugar, jaggery, coconut",vegetarian,-1,dessert
Veg Hakka Noodles 252,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,starter
Veg Biryani 253,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,starter
Veg Hakka Noodles 254,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,main course
Mutton Biryani 255,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,bitter,starter
Chicken 65 256,"Rice, peas, beans, carrot, spices",vegetarian,spicy,main course
Butter Naan 257,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,sweet,dessert
Paneer Momos 258,"Egg, tomato, onion, garam masala, coriander",non vegetarian,spicy,main course
Paneer Burger 259,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,dessert
Veg Momos 260,"Wheat flour, sugar, jaggery, coconut",non vegetarian,spicy,snack
Mixed Veg Sabzi 261,"Fish, coconut milk, tamarind, curry leaves",vegetarian,bitter,dessert
Veg Pakora 262,"Rice, peas, beans, carrot, spices",vegetarian,bitter,starter
Mutton Biryani 263,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,starter
Brownie 264,"Chicken, yogurt, cashew, onion, tomato",vegetarian,-1,starter
Butter Naan 265,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,snack
Chicken Hakka Noodles 266,"Gram flour, rice flour, onion, spices",vegetarian,-1,main course
Dal Fry 267,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,sweet,main course
Garlic Naan 268,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,snack
Veg Pizza 269,"Rice, peas, beans, carrot, spices",vegetarian,-1,main course
Chapati 270,"Gram flour, rice flour, onion, spices",non vegetarian,bitter,main course
Veg Manchurian 271,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,snack
Pineapple Pastry 272,"Paneer, onion, tomato, garam masala, cream",vegetarian,sweet,snack
Brownie 273,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,snack
Butter Naan 274,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,main course
Moong Dal Halwa 275,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,starter
Veg Fried Rice 276,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,starter
Fish Curry 277,"Wheat flour, sugar, jaggery, coconut",vegetarian,-1,starter
Paneer Tikka 278,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,main course
Mutton Biryani 279,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,starter
Shami Kebab 280,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,dessert
Egg Hakka Noodles 281,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,starter
Vegetable Soup 282,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,snack
Onion Pakora 283,"Gram flour, rice flour, onion, spices",vegetarian,spicy,main course
Ice Cream 284,"Rice, peas, beans, carrot, spices",non vegetarian,bitter,dessert
Paneer Bhurji 285,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,main course
Paneer Tikka 286,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,snack
Chapati 287,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,sweet,main course
Chicken Momos 288,"Mutton, onion, ginger garlic paste, spices",non vegetarian,-1,starter
Paneer Manchurian 289,"Chicken, yogurt, cashew, onion, tomato",vegetarian,sweet,dessert
Sweet Corn Soup 290,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,snack
Egg Curry 291,"Fish, coconut milk, tamarind, curry leaves",vegetarian,spicy,snack
Kulfi 292,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,spicy,main course
Sweet Corn Soup 293,"Egg, tomato, onion, garam masala, coriander",non vegetarian,sweet,dessert
Schezwan Noodles 294,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,starter
Dal Fry 295,"Gram flour, rice flour, onion, spices",non vegetarian,-1,starter
Kadhi Chawal 296,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,starter
Butter Naan 297,"Fish, coconut milk, tamarind, curry leaves",vegetarian,sweet,dessert
Jowar Roti 298,"Rice, peas, beans, carrot, spices",non vegetarian,-1,dessert
Keema Curry 299,"Potato, onion, chili, garam masala, oil",vegetarian,-1,main course
Mutton Kebab 300,"Gram flour, rice flour, onion, spices",non vegetarian,-1,starter
Vegetable Curry 301,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,-1,dessert
Chocolate Cake 302,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,dessert
Veg Cutlet 303,"Mutton, onion, ginger garlic paste, spices",vegetarian,-1,main course
Veg Pakora 304,"Rice, peas, beans, carrot, spices",non vegetarian,sweet,starter
Veg Manchurian 305,"Mutton, onion, ginger garlic paste, spices",vegetarian,spicy,dessert
Dal Fry 306,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,snack
Onion Pakora 307,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,snack
Dal Fry 308,"Egg, tomato, onion, garam masala, coriander",non vegetarian,sweet,main course
Gobi Manchurian 309,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,sweet,dessert
Paneer Burger 310,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,bitter,starter
Sweet Corn Soup 311,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,snack
Coconut Burfi 312,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,dessert
Tandoori Roti 313,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,dessert
Chapati 314,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,dessert
Egg Biryani 315,"Gram flour, rice flour, onion, spices",vegetarian,-1,snack
Paneer Bhurji 316,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,snack
Mutton Biryani 317,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,starter
Chapati 318,"Egg, tomato, onion, garam masala, coriander",vegetarian,sweet,snack
Egg Biryani 319,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,main course
Vegetable Soup 320,"Wheat flour, sugar, jaggery, coconut",non vegetarian,sweet,snack
Ice Cream 321,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,starter
Vegetable Soup 322,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,snack
Veg Cutlet 323,"Fish, coconut milk, tamarind, curry leaves",vegetarian,bitter,dessert
Veg Sandwich 324,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,-1,main course
Chapati 325,"Paneer, onion, tomato, garam masala, cream",non vegetarian,bitter,snack
Falooda 326,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,starter
Kadhi Pakora 327,"Wheat flour, sugar, jaggery, coconut",vegetarian,sweet,dessert
Schezwan Noodles 328,"Wheat flour, sugar, jaggery, coconut",vegetarian,spicy,dessert
Chapati 329,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,snack
Chicken 65 330,"Rice, peas, beans, carrot, spices",vegetarian,-1,starter
Hot and Sour Soup 331,"Egg, tomato, onion, garam masala, coriander",non vegetarian,sweet,snack
Vegetable Pulao 332,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,dessert
Veg Fried Rice 333,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,main course
Veg Hakka Noodles 334,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,main course
Ragi Mudde 335,"Paneer, onion, tomato, garam masala, cream",vegetarian,spicy,main course
Gobi Manchurian 336,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,main course
Fish Curry 337,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,dessert
Egg Curry 338,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,snack
Chapati 339,"Gram flour, rice flour, onion, spices",vegetarian,bitter,dessert
Paneer Tikka 340,"Gram flour, rice flour, onion, spices",vegetarian,-1,starter
Chicken Pizza 341,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,spicy,main course
Paneer Burger 342,"Wheat flour, sugar, jaggery, coconut",non vegetarian,bitter,snack
Veg Fried Rice 343,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,main course
Sweet Corn Soup 344,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,main course
Adai 345,"Potato, onion, chili, garam masala, oil",non vegetarian,sweet,starter
Keema Curry 346,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,starter
Chicken Fried Rice 347,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,snack
Chicken Pizza 348,"Gram flour, rice flour, onion, spices",vegetarian,sweet,dessert
Paneer Do Pyaza 349,"Paneer, onion, tomato, garam masala, cream",vegetarian,bitter,main course
Prawns Tikka 350,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,dessert
Paneer Roll 351,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,bitter,dessert
Club Sandwich 352,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,spicy,main course
Egg Fried Rice 353,"Rice, peas, beans, carrot, spices",non vegetarian,-1,starter
Veg Biryani 354,"Potato, onion, chili, garam masala, oil",vegetarian,bitter,main course
Paneer Pizza 355,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,starter
Veg Hakka Noodles 356,"Gram flour, rice flour, onion, spices",vegetarian,bitter,main course
Egg Curry 357,"Rice, peas, beans, carrot, spices",non vegetarian,sweet,starter
Ragi Mudde 358,"Egg, tomato, onion, garam masala, coriander",non vegetarian,-1,snack
Fish Tikka 359,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,starter
Vegetable Curry 360,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,sweet,starter
Veg Spring Roll 361,"Gram flour, rice flour, onion, spices",vegetarian,sweet,main course
Jowar Roti 362,"Gram flour, rice flour, onion, spices",vegetarian,-1,snack
Chicken Korma 363,"Rice, peas, beans, carrot, spices",vegetarian,bitter,snack
Coconut Burfi 364,"Wheat flour, sugar, jaggery, coconut",vegetarian,spicy,main course
Paneer Manchurian 365,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,starter
Chicken Sandwich 366,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,main course
Sweet Corn Soup 367,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,snack
Chicken Hakka Noodles 368,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,snack
Egg Roll 369,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,main course
Hara Bhara Kebab 370,"Gram flour, rice flour, onion, spices",vegetarian,sweet,starter
Ice Cream 371,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,starter
Kadhi Pakora 372,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,dessert
Kadhi Chawal 373,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,main course
Poori 374,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,snack
Rasgulla Cake 375,"Potato, onion, chili, garam masala, oil",vegetarian,-1,main course
Tandoori Roti 376,"Wheat flour, sugar, jaggery, coconut",vegetarian,sweet,dessert
Hara Bhara Kebab 377,"Wheat flour, sugar, jaggery, coconut",vegetarian,-1,starter
Bajra Roti 378,"Potato, onion, chili, garam masala, oil",non vegetarian,sweet,dessert
Egg Biryani 379,"Chicken, yogurt, cashew, onion, tomato",vegetarian,sweet,snack
Jowar Roti 380,"Paneer, onion, tomato, garam masala, cream",non vegetarian,sweet,main course
Veg Pakora 381,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,dessert
Rasgulla Cake 382,"Potato, onion, chili, garam masala, oil",vegetarian,bitter,main course
Veg Momos 383,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,starter
Chapati 384,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,starter
Mutton Biryani 385,"Fish, coconut milk, tamarind, curry leaves",vegetarian,sweet,snack
Egg Curry 386,"Egg, tomato, onion, garam masala, coriander",non vegetarian,spicy,snack
Kulfi 387,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,snack
Kadhi Pakora 388,"Potato, onion, chili, garam masala, oil",vegetarian,sweet,main course
Paneer Bhurji 389,"Potato, onion, chili, garam masala, oil",vegetarian,-1,dessert
Egg Curry 390,"Mutton, onion, ginger garlic paste, spices",non vegetarian,bitter,dessert
Veg Momos 391,"Mutton, onion, ginger garlic paste, spices",non vegetarian,spicy,dessert
Prawns Tikka 392,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,snack
Paneer Momos 393,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,snack
Ragi Mudde 394,"Wheat flour, sugar, jaggery, coconut",non vegetarian,spicy,main course
Keema Curry 395,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,starter
Gobi Manchurian 396,"Rice, peas, beans, carrot, spices",vegetarian,-1,dessert
Pesarattu 397,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,starter
Jowar Roti 398,"Rice, peas, beans, carrot, spices",non vegetarian,-1,starter
Mutton Curry 399,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,starter
Paneer Pizza 400,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,main course
Chicken Burger 401,"Gram flour, rice flour, onion, spices",non vegetarian,bitter,starter
Chapati 402,"Paneer, onion, tomato, garam masala, cream",non vegetarian,sweet,dessert
Mixed Veg Sabzi 403,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,starter
Chicken Biryani 404,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,main course
Mixed Veg Sabzi 405,"Rice, peas, beans, carrot, spices",vegetarian,spicy,main course
Paneer Pizza 406,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,dessert
Paneer Pizza 407,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,starter
Egg Biryani 408,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,snack
Veg Sandwich 409,"Potato, onion, chili, garam masala, oil",non vegetarian,sweet,main course
Veg Burger 410,"Egg, tomato, onion, garam masala, coriander",non vegetarian,sweet,starter
Ragi Mudde 411,"Egg, tomato, onion, garam masala, coriander",vegetarian,sweet,dessert
Mutton Tikka 412,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,snack
Tomato Soup 413,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,snack
Chicken Tikka 414,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,snack
Pineapple Pastry 415,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,starter
Paneer Momos 416,"Gram flour, rice flour, onion, spices",vegetarian,bitter,starter
Vegetable Soup 417,"Fish, coconut milk, tamarind, curry leaves",vegetarian,-1,starter
Coconut Burfi 418,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,dessert
Veg Fried Rice 419,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,dessert
